epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,313.615,1.24515,3.47219,0.0012,0.01724,0.24295,0.12277,0.08519,0.93561,3.68795,0.00171,0.000411111,0.000411111,0.000411111
2,621.475,1.15362,2.59068,0.00114,0.88265,0.15614,0.16979,0.12462,0.95475,2.58211,0.00182,0.000819583,0.000819583,0.000819583
3,1040.56,1.0939,2.39761,0.00109,0.88953,0.17716,0.2046,0.14898,0.9169,2.33668,0.00165,0.0012198,0.0012198,0.0012198
4,1596.8,1.11327,2.14813,0.00109,0.45642,0.25423,0.25434,0.18076,0.94707,2.15714,0.00178,0.00121287,0.00121287,0.00121287
5,2156.06,1.15563,1.96466,0.00112,0.45633,0.37113,0.30039,0.21448,0.9575,1.97314,0.00189,0.0012005,0.0012005,0.0012005
6,2709.32,1.12251,1.82761,0.00107,0.45882,0.38373,0.38324,0.26899,0.898,1.77502,0.00167,0.00118812,0.00118812,0.00118812
