epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9340.24,0.90252,0.53188,0.00084,0.7954,0.79572,0.82102,0.60529,0.80318,0.5425,0.00143,0.000742625,0.000742625,0.000742625
43,9557.11,0.9254,0.53417,0.00087,0.82062,0.76736,0.8161,0.60108,0.79982,0.54081,0.00146,0.00073025,0.00073025,0.00073025
44,9774.21,0.93421,0.52686,0.00089,0.8091,0.78847,0.82291,0.60087,0.84404,0.52875,0.0016,0.000717875,0.000717875,0.000717875
45,9991.14,0.91408,0.52105,0.00089,0.82761,0.7602,0.83357,0.61143,0.78945,0.52445,0.00141,0.0007055,0.0007055,0.0007055
46,10207.6,0.91822,0.51993,0.00082,0.8093,0.7926,0.83385,0.6226,0.78675,0.4916,0.00141,0.000693125,0.000693125,0.000693125
47,10426.9,0.91457,0.50487,0.00083,0.87458,0.7498,0.8355,0.6166,0.78881,0.50185,0.00139,0.00068075,0.00068075,0.00068075
48,10645.8,0.906,0.49536,0.00083,0.86957,0.78804,0.84032,0.61493,0.79205,0.49686,0.00141,0.000668375,0.000668375,0.000668375
49,10861.5,0.88444,0.49459,0.00087,0.85656,0.7816,0.83946,0.61805,0.77877,0.48614,0.00138,0.000656,0.000656,0.000656
50,11079,0.90625,0.48946,0.00083,0.85828,0.78162,0.8385,0.605,0.81152,0.50647,0.00143,0.000643625,0.000643625,0.000643625
51,11299.9,0.91542,0.49404,0.00083,0.85,0.75924,0.83749,0.60859,0.8121,0.49989,0.00149,0.00063125,0.00063125,0.00063125
52,11520.1,0.90117,0.48557,0.00083,0.81139,0.80423,0.83637,0.61126,0.79186,0.49807,0.00141,0.000618875,0.000618875,0.000618875
53,11739.8,0.89069,0.48524,0.0008,0.81981,0.78944,0.8425,0.62413,0.77794,0.49131,0.00136,0.0006065,0.0006065,0.0006065
54,11961.7,0.88901,0.47872,0.00079,0.82904,0.79915,0.83563,0.62301,0.78316,0.47601,0.0014,0.000594125,0.000594125,0.000594125
55,12181,0.90649,0.47589,0.0008,0.86363,0.78933,0.8456,0.61856,0.81046,0.48085,0.00147,0.00058175,0.00058175,0.00058175
56,12399.2,0.91097,0.47433,0.00082,0.83121,0.79321,0.84604,0.62136,0.7784,0.48359,0.00141,0.000569375,0.000569375,0.000569375
57,12618.6,0.87189,0.46574,0.00083,0.86368,0.77734,0.83521,0.61853,0.77117,0.4846,0.00136,0.000557,0.000557,0.000557
58,12837.7,0.90287,0.47333,0.0008,0.87634,0.7802,0.84999,0.62575,0.77375,0.47215,0.00138,0.000544625,0.000544625,0.000544625
59,13057,0.8991,0.47642,0.00086,0.851,0.81258,0.84269,0.62395,0.773,0.47561,0.00136,0.00053225,0.00053225,0.00053225
60,13276.3,0.87072,0.4545,0.00082,0.85095,0.78457,0.84195,0.62483,0.76434,0.46798,0.00132,0.000519875,0.000519875,0.000519875
61,13494.4,0.85889,0.44933,0.00081,0.84274,0.79044,0.84637,0.62099,0.76996,0.46609,0.00133,0.0005075,0.0005075,0.0005075
